ASX listed companies as at Tue Oct 20 14:26:38 EST 2015

Company name,ASX code,GICS industry group
"1-PAGE LIMITED",1PG,"Software & Services"
"1300 SMILES LIMITED",ONT,"Health Care Equipment & Services"
"1ST AVAILABLE LTD",1ST,"Health Care Equipment & Services"
"360 CAPITAL GROUP",TGP,"Real Estate"
"360 CAPITAL INDUSTRIAL FUND",TIX,"Real Estate"
"360 CAPITAL OFFICE FUND",TOF,"Real Estate"
"360 CAPITAL TOTAL RETURN FUND",TOT,"Not Applic"
"3D MEDICAL LIMITED",3DM,"Health Care Equipment & Services"
"3D OIL LIMITED",TDO,"Energy"
"3D RESOURCES LIMITED",DDD,"Materials"
"3P LEARNING LIMITED..",3PL,"Consumer Services"
"88 ENERGY LIMITED",88E,"Energy"
"8COMMON LIMITED",8CO,"Software & Services"
"8I HOLDINGS LTD",8IH,"Diversified Financials"
"8IP EMERGING COMPANIES LIMITED",8EC,"Class Pend"
"99 WUXIAN LIMITED",NNW,"Retailing"
"A-CAP RESOURCES LIMITED",ACB,"Energy"
"A1 CONSOLIDATED GOLD LIMITED",AYC,"Materials"
"A1 INVESTMENTS & RESOURCES LTD",AYI,"Diversified Financials"
"AAT CORPORATION LIMITED",AAT,"Technology Hardware & Equipment"
"ABACUS PROPERTY GROUP",ABP,"Real Estate"
"ABERDEEN LEADERS LIMITED",ALR,"Diversified Financials"
"ABILENE OIL AND GAS LIMITED",ABL,"Energy"
"ABM RESOURCES NL",ABU,"Materials"
"ACACIA COAL LIMITED",AJC,"Energy"
"ACADEMIES AUSTRALASIA GROUP LIMITED",AKG,"Consumer Services"
"ACCENT RESOURCES NL",ACS,"Materials"
"ACONEX LIMITED",ACX,"Software & Services"
"ACORN CAPITAL INVESTMENT FUND LIMITED",ACQ,"Not Applic"
"ACRUX LIMITED",ACR,"Pharmaceuticals & Biotechnology"
"ACTINOGEN LIMITED",ACW,"Pharmaceuticals & Biotechnology"
"ACTIVEX LIMITED",AIV,"Materials"
"ACTIVISTIC LIMITED",ACU,"Software & Services"
"ADACEL TECHNOLOGIES LIMITED",ADA,"Software & Services"
"ADAIRS LIMITED",ADH,"Retailing"
"ADAVALE RESOURCES LIMITED",ADD,"Energy"
