Ticker, Quandl Code, Name
III,GOOG/LON_III,3I GRP.
ABF,GOOG/LON_ABF,A.B. Food
ADN,GOOG/LON_ADN,Aberdeen Asset Management plc
ADM,GOOG/LON_ADM,Admiral Group plc
AGK,GOOG/LON_AGK,Aggreko plc
AAL,GOOG/LON_AAL,Anglo American plc
ANTO,GOOG/LON_ANTO,Antofagasta plc
ARM,GOOG/LON_ARM,ARM Holdings
AHT,GOOG/LON_AHT,Ashtead GRP
AZN,GOOG/LON_AZN,AstraZeneca plc
AV,GOOG/LON_AV_,Aviva plc
BAB,GOOG/LON_BAB,Babcock International Group PLC
BA,GOOG/LON_BA_,BAE Systems plc
BARC,GOOG/LON_BARC,Barclays PLC
BG,GOOG/LON_BG_,BG Group plc
BLT,GOOG/LON_BLT,BHP Billiton plc
BP,GOOG/LON_BP_,BP plc
BATS,GOOG/LON_BATS,British American Tobacco plc
BLND,GOOG/LON_BLND,British Land
BT,GOOG/LON_BT_A,BT Group plc
BNZL,GOOG/LON_BNZL,Bunzl plc
BRBY,GOOG/LON_BRBY,Burberry Group plc
CPI,GOOG/LON_CPI,Capita PLC
CCL,GOOG/LON_CCL,Carnival plc
CNA,GOOG/LON_CNA,Centrica PLC
CCB,GOOG/LON_CCB,COCA-COLA
CPG,GOOG/LON_CPG,Compass Group plc
CRH,GOOG/LON_CRH,CRH PLC (UK)
DGE,GOOG/LON_DGE,Diageo plc
DLG,GOOG/LON_DLG,Direct Line
DC,GOOG/LON_DC,Dixons Carpho
EZJ,GOOG/LON_EZJ,easyJet plc
EXPN,GOOG/LON_EXPN,Experian plc
FRES,GOOG/LON_FRES,Fresnillo Plc
FLG,GOOG/LON_FLG,Friends Life
GFS,GOOG/LON_GFS,G4S plc
GKN,GOOG/LON_GKN,GKN plc
GSK,GOOG/LON_GSK,GlaxoSmithKline plc
GLEN,GOOG/LON_GLEN,Glencore International Plc
HMSO,GOOG/LON_HMSO,Hammerson Plc
HL,GOOG/LON_HL_,Hargreaves Lansdown PLC
HSBA,GOOG/LON_HSBA,HSBC Holdings plc
IMI,GOOG/LON_IMI,IMI plc
IMT,GOOG/LON_IMT,Imperial Tobacco Group PLC
IHG,GOOG/LON_IHG,InterContinental Hotels Group PLC
IAG,GOOG/LON_IAG,International Consolidated Airlines Group
INTU,GOOG/LON_INTU,INTU Properties
ITRK,GOOG/LON_ITRK,Intertek Group plc
ITV,GOOG/LON_ITV,ITV plc
SBRY,GOOG/LON_SBRY,J Sainsbury plc
JMAT,GOOG/LON_JMAT,Johnson Matthey PLC
KGF,GOOG/LON_KGF,Kingfisher plc
LAND,GOOG/LON_LAND,Land Securities Group Plc
LGEN,GOOG/LON_LGEN,Legal &amp; General Group Plc
LLOY,GOOG/LON_LLOY,Lloyds Banking Group PLC
LSE,GOOG/LON_LSE,London Stock Exchange Group Plc
MKS,GOOG/LON_MKS,Marks and Spencer Group Plc
MGGT,GOOG/LON_MGGT,Meggitt plc
MNDI,GOOG/LON_MNDI,Mondi Plc
MRW,GOOG/LON_MRW,Morrison
NG,GOOG/LON_NG_,National Grid plc
NXT,GOOG/LON_NXT,NEXT plc
OML,GOOG/LON_OML,Old Mutual plc
PSON,GOOG/LON_PSON,Pearson plc
PSN,GOOG/LON_PSN,Persimmon plc
PFC,GOOG/LON_PFC,Petrofac Limited
PRU,GOOG/LON_PRU,Prudential plc
RRS,GOOG/LON_RRS,Randgold Resources Limited
RB,GOOG/LON_RB_,Reckitt Benckiser Group Plc
REL,GOOG/LON_REL,Reed Elsevier plc
RIO,GOOG/LON_RIO,Rio Tinto plc
RR,GOOG/LON_RR_,Rolls-Royce Holding PLC
RBS,GOOG/LON_RBS,Royal Bank of Scotland Group plc
RMG,GOOG/LON_RMG,Royal Mail
RDSA,GOOG/LON_RDSA,Royal Dutch Shell A Plc
RDSB,GOOG/LON_RDSB,Royal Dutch Shell B Plc
RSA,GOOG/LON_RSA,RSA Insurance Group plc
SAB,GOOG/LON_SAB,SABMiller plc
SDR,GOOG/LON_SDR,Schroders plc
SVT,GOOG/LON_SVT,Severn Trent Plc
SHP,GOOG/LON_SHP,Shire PLC
SKY,GOOG/LON_SKY,Sky Plc
SN,GOOG/LON_SN_,Smith &amp; Nephew plc
SMIN,GOOG/LON_SMIN,Smiths Group plc
SPD,GOOG/LON_SPD,Sports Direct International Plc
SSE,GOOG/LON_SSE,SSE PLC
STJ,GOOG/LON_STJ,St. James's Place
STAN,GOOG/LON_STAN,Standard Chartered PLC
SL,GOOG/LON_SL_,Standard Life Plc
TSCO,GOOG/LON_TSCO,Tesco PLC
SGE,GOOG/LON_SGE,The Sage Group plc
WEIR,GOOG/LON_WEIR,The Weir Group PLC
TPK,GOOG/LON_TPK,Travis Perkins plc
TT,GOOG/LON_TT_,TUI Travel PLC
TLW,GOOG/LON_TLW,Tullow Oil plc
ULVR,GOOG/LON_ULVR,Unilever plc
UU,GOOG/LON_UU_,United Utilities Group PLC
VOD,GOOG/LON_VOD,Vodafone Group plc
WTB,GOOG/LON_WTB,Whitbread plc
WOS,GOOG/LON_WOS,Wolseley plc
WPP,GOOG/LON_WPP,WPP PLC
