Ticker,Code,Name
TFSC,GOOG/NASDAQ_TFSC,1347 Capital Corp.
TFSCR,GOOG/NASDAQ_TFSCR,1347 Capital Corp.
TFSCU,GOOG/NASDAQ_TFSCU,1347 Capital Corp.
TFSCW,GOOG/NASDAQ_TFSCW,1347 Capital Corp.
PIH,GOOG/NASDAQ_PIH,"1347 Property Insurance Holdings, Inc."
FLWS,GOOG/NASDAQ_FLWS,"1-800 FLOWERS.COM, Inc."
FCTY,GOOG/NASDAQ_FCTY,"1st Century Bancshares, Inc"
FCCY,GOOG/NASDAQ_FCCY,1st Constitution Bancorp (NJ)
SRCE,GOOG/NASDAQ_SRCE,1st Source Corporation
VNET,GOOG/NASDAQ_VNET,"21Vianet Group, Inc."
TWOU,GOOG/NASDAQ_TWOU,"2U, Inc."
DGLD,GOOG/NASDAQ_DGLD,3X Inverse Gold ETN Velocityshares
JOBS,GOOG/NASDAQ_JOBS,"51job, Inc."
EGHT,GOOG/NASDAQ_EGHT,8x8 Inc
AVHI,GOOG/NASDAQ_AVHI,"A V Homes, Inc."
SHLM,GOOG/NASDAQ_SHLM,"A. Schulman, Inc."
AAON,GOOG/NASDAQ_AAON,"AAON, Inc."
ABAX,GOOG/NASDAQ_ABAX,"ABAXIS, Inc."
ABY,GOOG/NASDAQ_ABY,Abengoa Yield plc
ABGB,GOOG/NASDAQ_ABGB,"Abengoa, S.A."
ABMD,GOOG/NASDAQ_ABMD,"ABIOMED, Inc."
AXAS,GOOG/NASDAQ_AXAS,Abraxas Petroleum Corporation
ACTG,GOOG/NASDAQ_ACTG,Acacia Research Corporation
ACHC,GOOG/NASDAQ_ACHC,"Acadia Healthcare Company, Inc."
ACAD,GOOG/NASDAQ_ACAD,ACADIA Pharmaceuticals Inc.
ACST,GOOG/NASDAQ_ACST,"Acasti Pharma, Inc."
AXDX,GOOG/NASDAQ_AXDX,"Accelerate Diagnostics, Inc."
XLRN,GOOG/NASDAQ_XLRN,Acceleron Pharma Inc.
ANCX,GOOG/NASDAQ_ANCX,Access National Corporation
ARAY,GOOG/NASDAQ_ARAY,Accuray Incorporated
ACRX,GOOG/NASDAQ_ACRX,"AcelRx Pharmaceuticals, Inc."
ACET,GOOG/NASDAQ_ACET,Aceto Corporation
AKAO,GOOG/NASDAQ_AKAO,"Achaogen, Inc."
ACHN,GOOG/NASDAQ_ACHN,"Achillion Pharmaceuticals, Inc."
ACIW,GOOG/NASDAQ_ACIW,"ACI Worldwide, Inc."
ACNB,GOOG/NASDAQ_ACNB,ACNB Corporation
ACOR,GOOG/NASDAQ_ACOR,"Acorda Therapeutics, Inc."
ACFN,GOOG/NASDAQ_ACFN,"Acorn Energy, Inc."
ACTS,GOOG/NASDAQ_ACTS,"Actions Semiconductor Co., Ltd."
ACPW,GOOG/NASDAQ_ACPW,"Active Power, Inc."
ATVI,GOOG/NASDAQ_ATVI,"Activision Blizzard, Inc"
