Ticker,Code,Name
XOM,GOOG/NYSE_XOM,Exxon Mobil Corp.
IBM,GOOG/NYSE_IBM,International Business Machines Corp.
CVX,GOOG/NYSE_CVX,Chevron Corp.
GE,GOOG/NYSE_GE,General Electric Co.
PG,GOOG/NYSE_PG,Procter & Gamble Co.
T,GOOG/NYSE_T,AT&T Inc.
JNJ,GOOG/NYSE_JNJ,Johnson & Johnson
PFE,GOOG/NYSE_PFE,Pfizer Inc.
HBC,GOOG/NYSE_HBC,HSBC Holdings PLC
WFC,GOOG/NYSE_WFC,Wells Fargo & Co.
NVS,GOOG/NYSE_NVS,Novartis AG
BP,GOOG/NYSE_BP,BP PLC
PM,GOOG/NYSE_PM,Philip Morris International Inc.
JPM,GOOG/NYSE_JPM,JPMorgan Chase & Co.
KO,GOOG/NYSE_KO,Coca-Cola Co.
RDS/A,GOOG/NYSE_RDS/A,Royal Dutch Shell PLC Cl A
TM,GOOG/NYSE_TM,Toyota Motor Corp.
TOT,GOOG/NYSE_TOT,Total S.A.
BHP,GOOG/NYSE_BHP,BHP Billiton Ltd.
MRK,GOOG/NYSE_MRK,Merck & Co. Inc.
GSK,GOOG/NYSE_GSK,GlaxoSmithKline PLC
VZ,GOOG/NYSE_VZ,Verizon Communications Inc.
SLB,GOOG/NYSE_SLB,Schlumberger Ltd.
WMT,GOOG/NYSE_WMT,Wal-Mart Stores Inc.
MCD,GOOG/NYSE_MCD,McDonald's Corp.
RDS/B,GOOG/NYSE_RDS/B,Royal Dutch Shell PLC B
PEP,GOOG/NYSE_PEP,PepsiCo Inc.
COP,GOOG/NYSE_COP,ConocoPhillips
C,GOOG/NYSE_C,Citigroup Inc.
ABT,GOOG/NYSE_ABT,Abbott Laboratories
SI,GOOG/NYSE_SI,Siemens AG
SNY,GOOG/NYSE_SNY,Sanofi
OXY,GOOG/NYSE_OXY,Occidental Petroleum Corp.
RIO,GOOG/NYSE_RIO,Rio Tinto PLC
BAC,GOOG/NYSE_BAC,Bank of America Corp.
RY,GOOG/NYSE_RY,Royal Bank of Canada
BRK/B,GOOG/NYSE_BRK/B,Berkshire Hathaway Inc. Cl B
MTU,GOOG/NYSE_MTU,Mitsubishi UFJ Financial Group Inc.
BRK/A,GOOG/NYSE_BRK/A,Berkshire Hathaway Inc. Cl A
HD,GOOG/NYSE_HD,Home Depot Inc.
TD,GOOG/NYSE_TD,Toronto-Dominion Bank
DIS,GOOG/NYSE_DIS,Walt Disney Co.
STD,GOOG/NYSE_STD,Banco Santander S.A.
BBL,GOOG/NYSE_BBL,BHP Billiton PLC
TSM,GOOG/NYSE_TSM,Taiwan Semiconductor Manufacturing Co.
HMC,GOOG/NYSE_HMC,Honda Motor Co. Ltd.
TEF,GOOG/NYSE_TEF,Telefonica S.A.
CAT,GOOG/NYSE_CAT,Caterpillar Inc.
WBK,GOOG/NYSE_WBK,Westpac Banking Corp.
UTX,GOOG/NYSE_UTX,United Technologies Corp.
SAP,GOOG/NYSE_SAP,SAP AG
MO,GOOG/NYSE_MO,Altria Group Inc.
E,GOOG/NYSE_E,ENI S.p.A.
KFT,GOOG/NYSE_KFT,Kraft Foods Inc. Cl A
V,GOOG/NYSE_V,VISA Inc. Cl A
AZN,GOOG/NYSE_AZN,AstraZeneca PLC
UNH,GOOG/NYSE_UNH,UnitedHealth Group Inc.
CVS,GOOG/NYSE_CVS,CVS Caremark Corp.
DEO,GOOG/NYSE_DEO,Diageo PLC
SU,GOOG/NYSE_SU,Suncor Energy Inc.
BNS,GOOG/NYSE_BNS,Bank of Nova Scotia
NVO,GOOG/NYSE_NVO,Novo Nordisk A/S
MMM,GOOG/NYSE_MMM,3M Co.
UPS,GOOG/NYSE_UPS,United Parcel Service Inc. Cl B
EMC,GOOG/NYSE_EMC,EMC Corp.
BMY,GOOG/NYSE_BMY,Bristol-Myers Squibb Co.
USB,GOOG/NYSE_USB,U.S. Bancorp
AXP,GOOG/NYSE_AXP,American Express Co.
CHL,GOOG/NYSE_CHL,China Mobile Ltd.
UNP,GOOG/NYSE_UNP,Union Pacific Corp.
HPQ,GOOG/NYSE_HPQ,Hewlett-Packard Co.
UN,GOOG/NYSE_UN,Unilever N.V.
UBS,GOOG/NYSE_UBS,UBS AG
CAJ,GOOG/NYSE_CAJ,Canon Inc.
BA,GOOG/NYSE_BA,Boeing Co.
PBR,GOOG/NYSE_PBR,Petroleo Brasileiro S/A
GS,GOOG/NYSE_GS,Goldman Sachs Group Inc.
BUD,GOOG/NYSE_BUD,Anheuser-Busch InBev N.V.
ABX,GOOG/NYSE_ABX,Barrick Gold Corp.
ABB,GOOG/NYSE_ABB,ABB Ltd.
SMFG,GOOG/NYSE_SMFG,Sumitomo Mitsui Financial Group Inc.
BCS,GOOG/NYSE_BCS,Barclays PLC
DD,GOOG/NYSE_DD,E.I. DuPont de Nemours & Co.
AMX,GOOG/NYSE_AMX,America Movil S.A.B. de C.V.
F,GOOG/NYSE_F,Ford Motor Co.
MA,GOOG/NYSE_MA,MasterCard Inc. Cl A
DB,GOOG/NYSE_DB,Deutsche Bank AG
APC,GOOG/NYSE_APC,Anadarko Petroleum Corp.
UL,GOOG/NYSE_UL,Unilever PLC
APA,GOOG/NYSE_APA,Apache Corp.
MON,GOOG/NYSE_MON,Monsanto Co.
BBVA,GOOG/NYSE_BBVA,Banco Bilbao Vizcaya Argentaria S.A.
HON,GOOG/NYSE_HON,Honeywell International Inc.
CL,GOOG/NYSE_CL,Colgate-Palmolive Co.
FCX,GOOG/NYSE_FCX,Freeport-McMoRan Copper & Gold Inc.
CNQ,GOOG/NYSE_CNQ,Canadian Natural Resources Ltd.
MDT,GOOG/NYSE_MDT,Medtronic Inc.
NKE,GOOG/NYSE_NKE,Nike Inc. Cl B
SPG,GOOG/NYSE_SPG,Simon Property Group Inc.
POT,GOOG/NYSE_POT,Potash Corp. of Saskatchewan Inc.
DOW,GOOG/NYSE_DOW,Dow Chemical Co.
MFG,GOOG/NYSE_MFG,Mizuho Financial Group Inc.
GG,GOOG/NYSE_GG,Goldcorp Inc.
LLY,GOOG/NYSE_LLY,Eli Lilly & Co.
ACN,GOOG/NYSE_ACN,Accenture PLC Cl A
SO,GOOG/NYSE_SO,Southern Co.
NGG,GOOG/NYSE_NGG,National Grid PLC
EMR,GOOG/NYSE_EMR,Emerson Electric Co.
TWX,GOOG/NYSE_TWX,Time Warner Inc.
BMO,GOOG/NYSE_BMO,Bank of Montreal
NOV,GOOG/NYSE_NOV,National Oilwell Varco Inc.
HAL,GOOG/NYSE_HAL,Halliburton Co.
DE,GOOG/NYSE_DE,Deere & Co.
ING,GOOG/NYSE_ING,ING Groep N.V.
LOW,GOOG/NYSE_LOW,Lowe's Cos.
CNI,GOOG/NYSE_CNI,Canadian National Railway Co.
CEO,GOOG/NYSE_CEO,CNOOC Ltd.
TGT,GOOG/NYSE_TGT,Target Corp.
VALE,GOOG/NYSE_VALE,Vale S.A.
PX,GOOG/NYSE_PX,Praxair Inc.
BAX,GOOG/NYSE_BAX,Baxter International Inc.
PTR,GOOG/NYSE_PTR,PetroChina Co. Ltd.
EOG,GOOG/NYSE_EOG,EOG Resources Inc.
SYT,GOOG/NYSE_SYT,Syngenta AG
PNC,GOOG/NYSE_PNC,PNC Financial Services Group Inc.
MET,GOOG/NYSE_MET,MetLife Inc.
YUM,GOOG/NYSE_YUM,Yum! Brands Inc.
CM,GOOG/NYSE_CM,Canadian Imperial Bank of Commerce
CS,GOOG/NYSE_CS,Credit Suisse Group
DHR,GOOG/NYSE_DHR,Danaher Corp.
FTE,GOOG/NYSE_FTE,France Telecom
NEM,GOOG/NYSE_NEM,Newmont Mining Corp.
STO,GOOG/NYSE_STO,Statoil ASA
WAG,GOOG/NYSE_WAG,Walgreen Co.
DVN,GOOG/NYSE_DVN,Devon Energy Corp.
PRU,GOOG/NYSE_PRU,Prudential Financial Inc.
CVE,GOOG/NYSE_CVE,Cenovus Energy Inc.
PUK,GOOG/NYSE_PUK,Prudential PLC
TRP,GOOG/NYSE_TRP,TransCanada Corp.
D,GOOG/NYSE_D,Dominion Resources Inc. (Virginia)
KMB,GOOG/NYSE_KMB,Kimberly-Clark Corp.
BT,GOOG/NYSE_BT,BT Group PLC
DUK,GOOG/NYSE_DUK,Duke Energy Corp.
DCM,GOOG/NYSE_DCM,NTT DOCOMO Inc.
TJX,GOOG/NYSE_TJX,TJX Cos.
AGN,GOOG/NYSE_AGN,Allergan Inc.
BK,GOOG/NYSE_BK,Bank of New York Mellon Corp.
ENB,GOOG/NYSE_ENB,Enbridge Inc.
FDX,GOOG/NYSE_FDX,FedEx Corp.
COV,GOOG/NYSE_COV,Covidien PLC
SSL,GOOG/NYSE_SSL,Sasol Ltd.
EXC,GOOG/NYSE_EXC,Exelon Corp.
HIT,GOOG/NYSE_HIT,Hitachi Ltd.
NEE,GOOG/NYSE_NEE,NextEra Energy Inc.
AMT,GOOG/NYSE_AMT,American Tower REIT
TWC,GOOG/NYSE_TWC,Time Warner Cable Inc.
PKX,GOOG/NYSE_PKX,POSCO
MRO,GOOG/NYSE_MRO,Marathon Oil Corp.
ACE,GOOG/NYSE_ACE,ACE Ltd.
MHS,GOOG/NYSE_MHS,Medco Health Solutions Inc.
MS,GOOG/NYSE_MS,Morgan Stanley
CTL,GOOG/NYSE_CTL,CenturyLink Inc.
PCP,GOOG/NYSE_PCP,Precision Castparts Corp.
TRV,GOOG/NYSE_TRV,Travelers Cos. Inc.
TYC,GOOG/NYSE_TYC,Tyco International Ltd.
NSC,GOOG/NYSE_NSC,Norfolk Southern Corp.
ITW,GOOG/NYSE_ITW,Illinois Tool Works Inc.
LFC,GOOG/NYSE_LFC,China Life Insurance Co. Ltd.
GIS,GOOG/NYSE_GIS,General Mills Inc.
LMT,GOOG/NYSE_LMT,Lockheed Martin Corp.
WLP,GOOG/NYSE_WLP,WellPoint Inc.
